                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3142,                 2.8024,                 1.7867,                0.00315,                0.09072,                0.00264,                0.00091,                 3.3952,                 3.8422,                 3.0377,                0.00032,                0.00032,                0.00032
                      2,                 1.5053,                 1.2577,                 1.1848,                0.00704,                0.20277,                0.01674,                 0.0068,                 3.2335,                 3.8026,                 2.6759,             0.00065406,             0.00065406,             0.00065406
                      3,                 1.2895,                 0.9967,                 1.0662,                0.80656,                0.40235,                0.52257,                0.30559,                 1.6259,                 2.3848,                 1.4202,               0.000982,               0.000982,               0.000982
                      4,                  1.209,                0.88304,                  1.037,                0.80957,                0.79853,                0.87525,                0.55499,                 1.2489,                 1.0972,                 1.0589,              0.0013038,              0.0013038,              0.0013038
                      5,                  1.181,                0.84144,                 1.0231,                0.83657,                0.85767,                0.91254,                0.59589,                 1.2182,                0.89066,                   1.03,              0.0016195,              0.0016195,              0.0016195
                      6,                 1.1745,                0.83358,                 1.0192,                0.84902,                 0.8942,                0.93322,                0.65374,                 1.1025,                0.83086,                0.99491,                0.00191,                0.00191,                0.00191
                      7,                 1.1271,                0.75578,                 1.0009,                 0.8449,                0.90181,                0.93021,                0.64103,                 1.1221,                 0.7595,                0.98921,                0.00191,                0.00191,                0.00191
                      8,                 1.1162,                0.74159,                0.99467,                 0.8816,                0.89114,                0.95297,                0.68138,                 1.0624,                0.72719,                0.97536,               0.001892,               0.001892,               0.001892
                      9,                 1.1051,                0.69466,                0.97561,                0.84438,                0.90181,                0.94386,                0.65691,                 1.1058,                 0.7851,                0.98878,               0.001874,               0.001874,               0.001874
                     10,                 1.1014,                0.70954,                0.98647,                0.87108,                0.90858,                0.94909,                0.66686,                  1.085,                0.70812,                0.98399,               0.001856,               0.001856,               0.001856
                     11,                 1.0828,                0.68836,                0.98379,                0.86931,                0.91575,                0.95275,                 0.6565,                 1.0702,                0.69967,                0.97773,               0.001838,               0.001838,               0.001838
                     12,                 1.0744,                 0.6666,                0.97381,                0.88884,                0.91311,                0.96203,                0.69488,                   1.02,                 0.6547,                0.96173,                0.00182,                0.00182,                0.00182
                     13,                 1.0619,                0.66779,                 0.9618,                0.87445,                0.89943,                0.95051,                0.68959,                 1.0164,                0.71828,                0.96177,               0.001802,               0.001802,               0.001802
                     14,                 1.0709,                0.64532,                0.97181,                0.89662,                0.91462,                0.96329,                0.68758,                 1.0595,                0.65217,                0.96946,               0.001784,               0.001784,               0.001784
                     15,                 1.0591,                0.62883,                0.97358,                 0.8984,                0.92482,                 0.9655,                0.69616,                 1.0292,                0.60852,                0.96388,               0.001766,               0.001766,               0.001766
                     16,                 1.0273,                0.61029,                 0.9582,                0.90475,                0.92249,                0.96342,                0.69139,                 1.0077,                0.62126,                0.95719,               0.001748,               0.001748,               0.001748
                     17,                 1.0459,                0.61838,                 0.9642,                0.88504,                 0.9202,                0.96589,                0.69275,                 1.0253,                0.59728,                0.95685,                0.00173,                0.00173,                0.00173
                     18,                 1.0168,                0.60012,                0.95078,                 0.8758,                0.89861,                0.95448,                0.68355,                 1.0742,                0.61002,                0.96982,               0.001712,               0.001712,               0.001712
                     19,                 1.0239,                0.60563,                0.96375,                0.88632,                0.92102,                0.95878,                0.67942,                 1.0454,                0.65023,                0.96185,               0.001694,               0.001694,               0.001694
                     20,                 1.0274,                0.58563,                0.95563,                0.90576,                0.90715,                0.96574,                0.70273,                0.99172,                0.58704,                0.94479,               0.001676,               0.001676,               0.001676
                     21,                  1.037,                0.58863,                0.95644,                0.89527,                0.92145,                0.95096,                0.67974,                 1.0059,                0.58381,                0.95546,               0.001658,               0.001658,               0.001658
                     22,                 1.0365,                0.58387,                0.96273,                0.89306,                0.93579,                 0.9697,                0.70425,                 0.9982,                0.56723,                0.95676,                0.00164,                0.00164,                0.00164
                     23,                 1.0257,                0.57487,                0.95974,                0.89108,                0.92545,                0.97137,                0.70818,                 1.0103,                0.54733,                0.95974,               0.001622,               0.001622,               0.001622
                     24,                 1.0015,                0.57602,                   0.95,                 0.9129,                0.93276,                0.97063,                0.71793,                0.97539,                0.53612,                  0.948,               0.001604,               0.001604,               0.001604
                     25,                 1.0035,                0.56018,                0.95442,                0.88385,                0.93391,                0.96889,                0.70494,                 1.0102,                0.57058,                0.95457,               0.001586,               0.001586,               0.001586
                     26,                 1.0108,                0.55213,                0.94833,                0.89044,                0.90181,                0.96076,                0.69738,                 1.0009,                0.58185,                0.95159,               0.001568,               0.001568,               0.001568
                     27,                0.98649,                0.56262,                0.94253,                0.92056,                0.90608,                0.97174,                0.70977,                 1.0172,                0.54049,                 0.9539,                0.00155,                0.00155,                0.00155
                     28,                0.98745,                0.55631,                0.95003,                0.89511,                0.92423,                0.95832,                0.71107,                0.98833,                0.55014,                0.94839,               0.001532,               0.001532,               0.001532
                     29,                0.99322,                0.55332,                 0.9426,                0.91336,                0.92262,                0.97066,                0.69833,                 1.0054,                0.57169,                0.95536,               0.001514,               0.001514,               0.001514
                     30,                0.98591,                0.56087,                0.94525,                0.89152,                0.92094,                0.96845,                0.69983,                 0.9873,                0.56237,                0.94287,               0.001496,               0.001496,               0.001496
                     31,                0.98386,                0.54832,                0.94228,                0.90567,                0.91889,                0.96875,                0.70438,                 1.0191,                0.53974,                0.95498,               0.001478,               0.001478,               0.001478
                     32,                0.97918,                0.54244,                0.94329,                0.92137,                0.91569,                0.97168,                0.71424,                0.97168,                0.54757,                0.93812,                0.00146,                0.00146,                0.00146
                     33,                0.96779,                0.53111,                0.94078,                0.92112,                0.91569,                0.96741,                0.71819,                0.99522,                0.51752,                0.95048,               0.001442,               0.001442,               0.001442
                     34,                0.95885,                 0.5315,                0.94397,                0.92884,                0.89114,                0.97169,                0.72346,                0.97286,                0.52708,                0.94431,               0.001424,               0.001424,               0.001424
                     35,                 0.9559,                0.51741,                0.93713,                0.89254,                0.92209,                0.96311,                  0.714,                0.98851,                0.52313,                0.94696,               0.001406,               0.001406,               0.001406
                     36,                0.96464,                0.52573,                0.93932,                0.91061,                0.92411,                 0.9735,                0.71104,                 1.0003,                0.55746,                0.95248,               0.001388,               0.001388,               0.001388
                     37,                0.96611,                0.53524,                0.93519,                0.88655,                 0.9349,                0.97078,                 0.7201,                0.97282,                  0.539,                 0.9418,                0.00137,                0.00137,                0.00137
